$$,££,euros,description,source,source link
3000,1890,2190,estimated total eventual cost of Iraq War,
60,38,,Iraq War predicted cost 2003
750,473,548,OPEC Revenue
3,2,,Opec climate change fund
33,22,24,UK's richest man Lakshmi Mittal
21,13,,Save the amazon
,120,,Google Market value
300,189,219,to lift 1 billion people out of extreme poverty
,253,,to lift 1.3 bn people out of extreme poverty
,104,,Trident Total Cost
,38,,Alcohol Sales
18,11,,Tobacco Sales
,5,,Illegal Drugs Market
,54,,"Total alcohol, tobacco & drugs market"
,152,,Earnings from income tax
,103,,Mortgage Lending 2007
,175,,Goverment's Overdraft
,200,,bailout: cash bailout
,44,,per year interest on lending
,58,,25% cuts to government
11900,7497,8687,IMF Est Cost of Financial Crisis
111,70,81,Private African Debt
145,91,105,Official African Debt
