korean, english
당중앙, Center of the Party
웃분, Superior Person
친애하는 지도자,Dear Leader
존경하는 지도자,Respected Leader
현명한 지도자, Wise Leader
영명하신 지도자, Brilliant Leader
유일한 지도자, Unique Leader
령도자가 갖추어야 할 풍모를 완벽하게 지닌 친애하는 지도자,Dear Leader, who is a perfect incarnation of the appearance that a leader should have
최고사령관, Commander-in-Chief
위대한 령도자, Great Leader
인민의 어버이, Father of the People
공산주의 미래의 태양, Sun of the Communist Future
백두광명성, Shining Star of Paektu Mountain
향도의 해발, Guiding Ray of Sun
혁명무력의 수위, Leader of the Revolutionary Armed Forces
조국통일의 구성, Guarantee of the Fatherland's Unification
조국 통일의 상징, Symbol of the Fatherland's Unification
민족의 운명, Fate of the Nation
자애로운 아버지, Beloved Father
당과 국가와 군대의 수위, Leader of the Party, of the country, and of the Army
수령, Leader
장군, General
우리당과 우리 인민의 위대한 령도자, Great Leader of our Party and of our Nation
위대한 장군님, Great General
경애하는 장군님, Beloved and Respected General
위대한 수령, Great Leader
경애하는 수령, Beloved and Respected Leader
백전백승의 강철의 령장, Invincible and Iron-Willed Commander
사회주의 태양, Sun of Socialism
민족의 태양, Sun of the Nation
삶의 태양, The Great Sun of Life
민족의 위대한 태양, Great Sun of The Nation
민족의 어버이, Father of the Nation
세기의 세계 수령, World's Leader of The 21st century
불세출의 령도자, Peerless Leader
세기 차란한 태양, Bright Sun of the 21st century
세기 위대한 태양, Great Sun of the 21st Century
세기 향도자, Leader of the 21st Century
희세의 정치가, Amazing politician
천출위인, Great Man, Who Descended From Heaven
천출명장, Glorious General, Who Descended From Heaven
민족의 최고영수, Supreme Leader of the Nation
주체의 찬란한 태양, Bright Sun of Juche
당과 인민의 수령, Leader of the Party and the People
위대한 원수님, Great Marshal
무적필승의 장군, Invincible and All-triumphant General
경애하는 아버지, Beloved and Respected Father
세기의 향도성, Guiding Star of the 21st Century
실천가형의 위인, Great Man, Who Is a Man of Deeds
위대한 수호자, Great Defender
구원자, Savior
혁명의 수뇌부, Mastermind of the Revolution
혁명적 동지애의 최고화신,Highest Incarnation of the Revolutionary Comradely Love
각하, His Excellency
